1272, 1315.389648, -898.885803, 39.578125, 352.437835, 125, 2 ; // 24/7 LS (damo)
1272, 1199.693847, -919.824829, 43.107589, 359.216644, 47, 2 ; // burger shot LS (damo)
1272, 1087.605468, -922.871948, 43.390625, 17.284997, 17, 2 ; // sex shop ls (damo)
1272, 927.423706, -1352.795166, 13.376624, 264.936157, 130, 2 ; // Cluckin Bell South LS Beach (Kye)
1272, 953.874816, -1336.391479, 13.538938, 177.139328, 17, 2 ; // ls sex shop (damo)
1272, 2421.620361, -1509.163085, 23.992208, 88.295097, 130, 2 ; // Cluckin Bell South LS Grove (Kye)
1272, 2309.676757, -1644.051757, 14.827047, 333.614624, 139, 2 ; // Ten Green Bottles Bar LS (Kye)
1272, 2421.507324, -1219.351928, 25.554723, 0.673891, 40, 2 ; // pig pen strip club edit interior pos ( damo )
1272, 1835.677490, -1682.488403, 13.379734, 274.638153, 64, 2 ; // Alahambra (Kye)
1272, -2026.599121, -101.420875, 35.164062, 179.649490, 134, 2 ; // Driving school (Kye)
1272, -2243.077392, -88.254119, 35.320312, 270.197021, 139, 2 ; // Misty's in SF (Kye)
1272, 2020.498535, 1007.743408, 10.820312, 91.738945, 41, 2 ; // Four dragons LV (Kye)
1272, 2195.840087, 1677.150512, 12.367187, 270.124633, 48, 2 ; // Caligula's Casino LV (Kye)
1272, 2413.159912, 1123.804077, 10.820312, 90.420768, 14, 2 ; // City Planning Dept (Kye)
1272, 2083.363037, 2223.861572, 11.023437, 4.465465, 22, 2 ; // LV Pizza (Damian)
1272, 1872.878784, 2071.857666, 11.062500, 54.375713, 47, 2 ; // Burgershot LV (Kye)
1272, 2507.153076, 2121.128173, 10.840013, 170.379791, 40, 2 ; // Strip club central LV (Kye)
1272, 2637.511718, 1671.698120, 11.023437, 272.170532, 130, 2 ; // Cluckin Bell East LV (kye)
1272, 2546.290283, 1971.762695, 10.820312, 336.967773, 28, 2 ; // 24/7 large central 24/7 LV (kye)
1272, -2672.043945, 258.937194, 4.632812, 189.680572, 130, 2 ; // Cluckin Bell mid SF beach (Kye)
1272, -2356.885498, 1008.085449, 50.898437, 268.259033, 47, 2 ; // Burger Shot SF (dugi)
1272, -1911.886352, 828.324584, 35.190605, 137.322372, 47, 2 ; // Burger Shot SF (dugi)
1272, -1808.028808, 945.119873, 24.890625, 44.066570, 22, 2 ; // Pizza SF (dugi)
1272, -1816.763427, 617.589660, 35.171875, 353.020690, 130, 2 ; // Cluckin Bell SF (dugi)
1272, -1721.932250, 1359.860717, 7.185316, 268.479644, 22, 2 ; // Pizza stack shore SF (kye)
1272, -2154.623535, -2460.848876, 30.851562, 48.116821, 130, 2 ; // Cluckin Bell Angel Pine (dugi)
