1273, 2317.130615, 692.398498, 11.460937, 182.779815, 114, 1 ; // LV house 1 (Kye)
1273, 2346.872802, 692.999267, 11.460937, 169.544052, 114, 1 ; // LV house 2 (Kye)
1273, 2396.482666, 691.487060, 11.453125, 204.504104, 114, 1 ; // LV South house std (Kye)
1273, 2398.476074, 735.344665, 11.460937, 2.251268, 135, 1 ; // Another LV south house (Kye)
1273, 2368.863525, 733.627502, 11.460937, 340.751281, 135, 1 ; // Another LV south house (Kye)
1273, 2013.253906, 731.041870, 11.453125, 184.224456, 135, 1 ; // Another LV south house (Kye)
1273, 2449.826660, 742.588806, 11.460937, 277.908294, 135, 1 ; // South LV house (dugi)
1273, 315.854431, -1770.274780, 4.650740, 0.550503, 142, 1 ; // LS beach large place prime (Kye)
1273, 281.030181, -1768.148315, 4.530816, 7.038213, 143, 1 ; // LS beach place mid single (Kye)
1273, 192.812255, -1769.919677, 4.310826, 354.301971, 120, 1 ; // LS beach place low small (Kye)
1273, 206.922988, -1769.517211, 4.356268, 358.837310, 120, 1 ; // LS beach place low small 2 (Kye)
1273, 2459.298095, -1690.607910, 13.547365, 184.625762, 43, 1 ; // ryders house (Kye)
1273, -1213.113037, 1831.049316, 41.929687, 135.571823, 130, 1 ; // cluckin bell dugi
1273, 1258.558471, -785.422668, 92.030181, 272.087768, 55, 1 ; // Madd Dogg's (dugi)
1273, 1496.315429, -689.928100, 94.750000, 177.589370, 119, 1 ; // north LS G-sTyLeZzZ
1273, 300.189880, -1154.397094, 81.390960, 315.521514, 115, 1 ; // a mansion, dugi
1273, 252.362152, -1221.875488, 75.360870, 200.571807, 142, 1 ; // north LS G-sTyLeZzZ
1273, 190.298828, -1307.772094, 70.263801, 137.011840, 115, 1 ; // Rodeo G-sTyLeZzZ
1273, 219.711242, -1250.425537, 78.332633, 33.503372, 119, 1 ; // dugi
1273, 252.680297, -1269.471435, 74.104919, 311.346252, 69, 1 ; // west LS G-sTyLeZzZ
1273, 298.387359, -1337.811645, 53.441535, 214.352890, 94, 1 ; // dugi
1273, 255.220260, -1366.634643, 53.109375, 120.502304, 115, 1 ; // dugi
1273, 2449.662353, 714.210693, 11.468292, 274.666778, 114, 1 ; // LV House
1273, 2447.716796, 690.144653, 11.460937, 245.059600, 78, 1 ; // LV house Kye
1273, 2448.996093, 662.627441, 11.460937, 272.695922, 68, 1 ; // LV house Kye
1273, 2397.470458, 655.481445, 11.460937, 6.485405, 67, 1 ; // LV house Kye
1273, 2362.470703, 656.314331, 11.460937, 275.680511, 114, 1 ; // LV house Kye
1273, 2346.697998, 735.580444, 11.468292, 13.737228, 78, 1 ; // LV House (LnX)
1273, 2317.844970, 655.250122, 11.453125, 12.854166, 114, 1 ; // LV house Kye
1273, 2257.737548, 733.586120, 11.460937, 9.180140, 114, 1 ; // house LV (G-sTyLeZzZ)
1273, 2368.393310, 691.006591, 11.460479, 184.077713, 67, 1 ; // LV House (LnX)
1273, 2346.375732, 656.261230, 11.460479, 23.631895, 114, 1 ; // LV house Zero
1273, 2227.255615, 733.433471, 11.460937, 90.000000, 68, 1 ; // house LV (G-sTyLeZzZ)
1273, 2256.981689, 691.779357, 11.453125, 179.134613, 68, 1 ; // LV House (LnX)
1273, 2227.587890, 691.652465, 11.460479, 95.925140, 67, 1 ; // house LV (G-sTyLeZzZ)
1273, 2207.006103, 693.637756, 11.460937, 160.544937, 114, 1 ; // house LV (G-sTyLeZzZ)
1273, 2258.226318, 654.880554, 11.453125, 9.470176, 78, 1 ; // LV House Kye
1273, 2205.908447, 735.351745, 11.468292, 1.969106, 114, 1 ; // LV House (LnX)
1273, 2176.783935, 692.591796, 11.460937, 193.445266, 68, 1 ; // house LV (G-sTyLeZzZ)
1273, 2206.465332, 655.235717, 11.468292, 4.958120, 78, 1 ; // LV House Kye
